id,file,name,year,doi,disease,transmission_1,stochasticity,model_1,model_2,behavior_1,behavior_2,behavior_3,behavior_4
new_019,scholar_67,evaluation of zika vector control strategies using agent-based modeling,2016,10.48550/arxiv.1604.06121,zika,vector,,abm,,control,,,
new_020,scholar_68,exploring scenarios of chikungunya mitigation with a data-driven agent-based model of the 2014–2016 outbreak in colombia,2018,10.1038/s41598-018-30647-8,chikungunya,vector,,abm,,movement,control,,
new_021,scholar_69,exploring the effects of awareness and time delay in controlling malaria disease propagation,2020,10.1515/ijnsns-2019-0223,malaria,vector,,abm,,information,,,
new_022,scholar_70,a spatial agent-based model to assess the spread of malaria in relation to anti-malaria interventions in southeast iran,2020,10.3390/ijgi9090549,malaria,vector,,abm,,control,,,
new_023,scholar_71,an agent-based model of dengue virus transmission shows how uncertainty about breakthrough infections influences vaccination impact projections,2019,10.1371/journal.pcbi.1006710,dengue,vector,stochastic,abm,,vaccination,,,
new_024,scholar_72,human social behavior and demography drive patterns of fine-scale dengue transmission in endemic areas of colombia,2015,https://doi.org/10.1371/journal.pone.0144451,dengue,vector,,abm,,creo que no tiene,,,
new_025,scholar_73,optimal strategy of vaccination and treatment in an sirs model with markovian switching,2018,10.1002/mma.5378,general,vector,stochastic,markov,ode,vaccination,treatment,,
new_026,wofs_16,dynamics and optimal control of a stochastic zika virus model with spatial diffusion,2023,10.3934/mbe.2023778,zika,vector,deterministic,pde,,protection,control,treatement,
new_027,wofs_17,the impact of human activity on the risk index and spatial spreading of dengue fever,2018,10.1016/j.nonrwa.2017.07.007,dengue,vector,deterministic,pde,,information,,,
new_028,wofs_18,modeling zika transmission dynamics: prevention and control,2020,10.1142/s0218339020500138,zika,vector,,,,,,,
new_029,wofs_19,dynamic analysis of a fractional-order model for vector-borne diseases on bipartite networks,2025,10.3390/fractalfract9110742,general,vector,deterministic,fde,,memory,,,
new_030,wofs_20,optimal control strategies of a fractional order model for zika virus infection involving various transmissions,2021,10.1016/j.chaos.2021.110864,zika,vector,deterministic,fde,,sexual,control,,
new_031,wofs_21,atangana-baleanu fractional dynamics of dengue fever with optimal control strategies,2023,10.3934/math.2023791,dengue,vector,deterministic,fde,,treatment (optimal control problem),,,
new_032,wofs_22,"an agent-based model to simulate tsetse fly distribution and control techniques: a case study in nguruman, kenya",2015,10.1016/j.ecolmodel.2015.07.015,trypanosomiasis,vector,stochastic,abm,,control,,,
new_033,wofs_23,an agent-based model to investigate behavior impacts on vector-borne disease spread,2017,10.5555/3242181.3242425,general,vector,,abm,,memory,,,
new_034,sd_8,modeling and stability analysis of the transmission dynamics of monkeypox with control intervention,2024,10.1016/j.padiff.2024.100730,,human,,,,,,,
new_035,sd_9,dynamics and modeling of malaria disease with vector mortality rate and host transmission by using piecewise fractional operator,2025,10.1016/j.padiff.2025.101309,malaria,vector,deterministic,fde,,control,protection,,
new_036,sd_10,vaccination effect on the dynamics of dengue disease transmission models in nepal: a fractional derivative approach,2023,10.1016/j.padiff.2022.100476,dengue,vector,deterministic,fde,,vaccination,,,
new_037,sd_11,fractal-fractional order dynamics and numerical simulations of a zika epidemic model with insecticide-treated nets,2022,10.1016/j.physa.2022.127809,zika,vector,deterministic,fde,,protection,,,
new_038,sd_12,an agent-based model driven by tropical rainfall to understand the spatio-temporal heterogeneity of a chikungunya outbreak,2014,doi.org/10.1016/j.actatropica.2013.08.004,chikungunya,vector,stochastic,abm,,movement,,,
new_039,sd_13,"an agent-based model to simulate tsetse fly distribution and control techniques: a case study in nguruman, kenya",2015,10.1016/j.ecolmodel.2015.07.015,trypanosomiasis,vector,stochastic,abm,,control,,,
new_040,sd_14,multi-agent modeling and simulation of an aedes aegypti mosquito population,2010,10.1016/j.envsoft.2010.04.021,dengue,vector,,abm,,,,,
new_041,sd_15,seasonal variability and stochastic branching process in malaria outbreak probability,2024,10.1016/j.actatropica.2024.107311,malaria,vector,stochastic,markov,,control,,,
new_042,sd_16,demographic heterogeneities in a stochastic chikungunya virus model with poisson random measures and near-optimal control under markovian regime switching,2025,10.32604/cmes.2025.071629,chikungunya,vector,stochastic,markov,,control,,,
new_043,sd_17,"the effects of vaccination, vector controls and media on dengue transmission dynamics with a seasonally varying mosquito population",2022,10.1016/j.rinp.2022.105298,dengue,vector,,ode,marlov,vaccination,control,information,
